Wall time,Step,Value
1750117867.755234,0,23.239450454711914
1750122118.772226,1,20.12681770324707
1750126451.404056,2,18.946428298950195
1750130680.443724,3,18.481264114379883
1750134907.800551,4,18.190732955932617
1750139213.39924,5,17.848926544189453
1750143404.62681,6,17.755733489990234
1750147564.933135,7,17.527202606201172
1750151715.142207,8,17.498178482055664
1750155848.0789828,9,17.42560386657715
1750159971.261696,10,17.40009117126465
1750164079.57537,11,17.289079666137695
1750168191.742054,12,17.23641014099121
1750172297.59164,13,17.132404327392578
1750176453.9619021,14,17.157405853271484
1750180850.0160792,15,17.11432456970215
1750185154.1771278,16,17.09980583190918
1750189391.2775,17,17.059040069580078
1750193791.288744,18,16.979639053344727
1750198091.669916,19,16.972339630126953
1750202651.749393,20,16.979339599609375
1750207163.865746,21,16.89175796508789
1750211713.375345,22,16.97710609436035
1750216052.899157,23,16.890480041503906
1750220428.1077561,24,16.858570098876953
1750224709.5613,25,16.90614891052246
1750228955.137419,26,16.897302627563477
1750233176.753309,27,16.809844970703125
1750237381.097017,28,16.8604679107666
1750241562.528254,29,16.772478103637695
