Wall time,Step,Value
1750242880.745945,0,53.867008209228516
1750244191.138497,1,37.6105842590332
1750246227.299125,2,26.738567352294922
1750248253.918934,3,23.37044906616211
1750251015.6638331,4,20.932710647583008
1750253768.7381241,5,20.084152221679688
1750257214.1177301,6,19.152809143066406
1750260713.140447,7,18.58722686767578
1750265084.791805,8,18.09245491027832
1750269591.634642,9,17.810033798217773
1750273913.0966349,10,17.79850959777832
1750278210.55135,11,17.607419967651367
1750282506.1633558,12,17.50511932373047
1750286970.443201,13,17.351274490356445
1750291458.696942,14,17.263975143432617
1750295931.374552,15,17.2078857421875
1750300503.9855201,16,17.132694244384766
1750304961.65779,17,17.121416091918945
1750309383.141357,18,17.135910034179688
1750313785.064841,19,17.052095413208008
1750318127.064212,20,17.08173370361328
1750322430.6460679,21,17.006471633911133
1750326698.7906811,22,17.02798843383789
1750330951.355455,23,16.987016677856445
1750335187.655519,24,16.947071075439453
1750339399.566528,25,17.024276733398438
1750343602.1535301,26,16.952640533447266
1750381999.7903502,27,17.084932327270508
1750386648.8430898,28,16.945514678955078
1750391063.299486,29,16.956756591796875
