Wall time,Step,Value
1750632371.148538,0,49.487388610839844
1750634606.383071,1,34.278865814208984
1750636890.237139,2,27.99624252319336
1750639149.893426,3,25.216676712036133
1750641343.3481212,4,23.53975486755371
1750643529.923166,5,22.532695770263672
1750645794.686364,6,21.782365798950195
1750648101.239102,7,21.24361228942871
1750650363.352725,8,20.716150283813477
1750652619.7844238,9,20.394941329956055
1750656967.762419,10,19.212770462036133
1750661271.727992,11,18.654909133911133
1750665520.5851111,12,18.28499984741211
1750669774.2345128,13,17.99468421936035
1750673984.9647071,14,17.756744384765625
1750678184.292585,15,17.66889762878418
1750682381.317089,16,17.62046241760254
1750686553.589252,17,17.473724365234375
1750690784.6460302,18,17.390039443969727
1750695602.3816,19,17.322021484375
1750701233.21937,20,17.29917335510254
1750705842.984617,21,17.225284576416016
1750710360.794543,22,17.184450149536133
1750716082.20699,23,17.170568466186523
1750720587.083894,24,17.155235290527344
1750725037.990058,25,17.128530502319336
1750729396.893443,26,17.081998825073242
1750733776.534314,27,17.105083465576172
1750738221.15604,28,16.993898391723633
1750742708.676333,29,17.012083053588867
