Wall time,Step,Value
1749863283.332479,0,0.6881721615791321
1749864592.204366,1,0.7706413269042969
1749866617.404913,2,0.8015595078468323
1749868684.4126022,3,0.8262977600097656
1749871473.757466,4,0.8318760991096497
1749875060.4779,5,0.837664008140564
1749878531.724318,6,0.8369895815849304
1749881971.612332,7,0.8430929780006409
1749886106.593617,8,0.8256592750549316
1749890253.3987021,9,0.8298784494400024
1749894408.71188,10,0.8304325938224792
1749898526.607817,11,0.8332673907279968
1749902645.408086,12,0.8347283601760864
1749906756.764339,13,0.8358985781669617
1749910871.8670049,14,0.836794912815094
1749915142.939052,15,0.83380526304245
1749919236.457557,16,0.8353106379508972
1749923334.053247,17,0.837573766708374
1749927446.811979,18,0.838478684425354
1749931565.01156,19,0.8390652537345886
1749935700.272131,20,0.8395313620567322
1749940017.876853,21,0.8399134278297424
1749944700.707537,22,0.8402133584022522
1749949409.596304,23,0.8404313921928406
1749953801.54674,24,0.8407436609268188
1749958169.537319,25,0.8410740494728088
1749962421.0371158,26,0.8413008451461792
1749966597.28267,27,0.8414325714111328
1749970740.188205,28,0.8416363000869751
1749974864.439018,29,0.8418612480163574
