Wall time,Step,Value
1750632371.148542,0,0.6339173913002014
1750634606.3830762,1,0.7312592267990112
1750636890.237143,2,0.7649703025817871
1750639149.893431,3,0.7829119563102722
1750641343.348126,4,0.7919245958328247
1750643529.923171,5,0.7969673871994019
1750645794.686368,6,0.799578070640564
1750648101.239106,7,0.800439178943634
1750650363.352729,8,0.7978551983833313
1750652619.7844281,9,0.8035294413566589
1750656967.762424,10,0.8170499205589294
1750661271.7279959,11,0.8239526152610779
1750665520.585115,12,0.8278070092201233
1750669774.234518,13,0.8303616642951965
1750673984.9647129,14,0.8321877717971802
1750678184.2925901,15,0.8336284756660461
1750682381.3170938,16,0.8347739577293396
1750686553.589256,17,0.8356552720069885
1750690784.646034,18,0.8364802598953247
1750695602.3816042,19,0.8371942043304443
1750701233.2193751,20,0.8377331495285034
1750705842.984622,21,0.8381862640380859
1750710360.794549,22,0.8386833667755127
1750716082.206995,23,0.8391240239143372
1750720587.0839,24,0.8394148945808411
1750725037.9900632,25,0.8397128582000732
1750729396.8934479,26,0.8401356935501099
1750733776.534318,27,0.8402976989746094
1750738221.156044,28,0.8405987620353699
1750742708.676339,29,0.8408181667327881
