Wall time,Step,Value
1750744114.9980228,0,0.6863391995429993
1750745515.701997,1,0.7695612907409668
1750746911.698525,2,0.7834067940711975
1750748303.867119,3,0.8071599006652832
1750749682.4815528,4,0.8068709969520569
1750751071.47651,5,0.8209571242332458
1750752447.519665,6,0.8068127036094666
1750753816.0430741,7,0.8193223476409912
1750755208.793857,8,0.7414253950119019
1750756580.0285518,9,0.7605651617050171
1750760976.7720058,10,0.8176254630088806
1750765539.207826,11,0.8252657651901245
1750770075.641412,12,0.8290582895278931
1750774577.088752,13,0.831551730632782
1750779086.6895528,14,0.8333155512809753
1750783996.870371,15,0.8346116542816162
1750789102.207913,16,0.8356978893280029
1750794584.8883252,17,0.8365235328674316
1750799274.570152,18,0.8372737765312195
1750803944.550862,19,0.837879478931427
1750808795.973835,20,0.8384362459182739
1750813476.901664,21,0.8389237523078918
1750818113.2744908,22,0.8393404483795166
1750822645.29523,23,0.8397051692008972
1750827242.82081,24,0.8400473594665527
1750831878.27063,25,0.8403735756874084
1750836412.471426,26,0.8404700756072998
1750840869.555818,27,0.8408064842224121
1750845298.1182709,28,0.8410533666610718
1750849718.624562,29,0.841152548789978
