Wall time,Step,Value
1750744114.997982,0,4.144684791564941
1750745515.7019641,1,3.491670608520508
1750746911.6984901,2,3.4095680713653564
1750748303.8670888,3,3.2133724689483643
1750749682.481517,4,3.227614641189575
1750751071.4764748,5,3.0969951152801514
1750752447.519634,6,3.219228982925415
1750753816.043037,7,3.104700803756714
1750755208.793823,8,3.5905277729034424
1750756580.028522,9,3.432602882385254
1750760976.771947,10,3.0987296104431152
1750765539.2077901,11,3.03275203704834
1750770075.641336,12,3.001636028289795
1750774577.088722,13,2.9812886714935303
1750779086.689203,14,2.966902732849121
1750783996.870292,15,2.956063985824585
1750789102.207841,16,2.947303056716919
1750794584.888244,17,2.940584659576416
1750799274.569878,18,2.93465256690979
1750803944.550782,19,2.9295992851257324
1750808795.973741,20,2.925201892852783
1750813476.9015622,21,2.921534299850464
1750818113.2744079,22,2.9179158210754395
1750822645.292929,23,2.914977550506592
1750827242.8207428,24,2.9125137329101562
1750831878.2705438,25,2.9098050594329834
1750836412.47137,26,2.9085917472839355
1750840869.555746,27,2.906043291091919
1750845298.118175,28,2.904139518737793
1750849718.6242921,29,2.903306722640991
