Wall time,Step,Value
1750393244.648032,0,4.497038841247559
1750395455.19265,1,3.903747320175171
1750398368.11519,2,3.5344879627227783
1750401224.5931342,3,3.3312270641326904
1750404823.3122802,4,3.210529088973999
1750408456.2591732,5,3.1416213512420654
1750412752.2084851,6,3.0853068828582764
1750416996.0416489,7,3.050424098968506
1750421987.898771,8,3.011716842651367
1750426988.913014,9,2.989940643310547
1750431261.3392692,10,2.989818572998047
1750435597.5351439,11,2.9662227630615234
1750440150.407784,12,2.954162359237671
1750444543.849094,13,2.9454574584960938
1750448894.259244,14,2.938507318496704
1750453403.6882539,15,2.9323973655700684
1750457802.088578,16,2.928183078765869
1750462587.858046,17,2.9238781929016113
1750466837.808796,18,2.919602870941162
1750471047.37008,19,2.916750431060791
1750475286.553396,20,2.9133033752441406
1750479461.077869,21,2.910808801651001
1750483616.5842361,22,2.9080207347869873
1750487760.517968,23,2.905743360519409
1750491885.537745,24,2.903864860534668
1750496002.133448,25,2.9018428325653076
1750500111.205085,26,2.900128126144409
1750504211.5523431,27,2.8988354206085205
1750508312.8637319,28,2.8973073959350586
1750512402.2931461,29,2.89581298828125
