Wall time,Step,Value
1750242880.7459168,0,4.869692325592041
1750244191.138468,1,4.110507488250732
1750246227.2990952,2,3.639007806777954
1750248253.918893,3,3.4058213233947754
1750251015.6637871,4,3.2411768436431885
1750253768.7380931,5,3.1608352661132812
1750257214.117406,6,3.0938303470611572
1750260713.1403809,7,3.0553507804870605
1750265084.791737,8,3.0033442974090576
1750269591.634613,9,2.980733871459961
1750273913.096587,10,2.9817233085632324
1750278210.551297,11,2.9585886001586914
1750282506.163321,12,2.9470789432525635
1750286970.443168,13,2.9389889240264893
1750291458.6969159,14,2.9322216510772705
1750295931.3745222,15,2.9269731044769287
1750300503.985491,16,2.9222328662872314
1750304961.6577501,17,2.9180169105529785
1750309383.141315,18,2.9146981239318848
1750313785.064812,19,2.9115850925445557
1750318127.0641851,20,2.908963441848755
1750322430.64604,21,2.906283378601074
1750326698.7906518,22,2.904263734817505
1750330951.355423,23,2.9020612239837646
1750335187.655484,24,2.90006422996521
1750339399.5665002,25,2.8983960151672363
1750343602.1534889,26,2.8967831134796143
1750381999.790324,27,2.910587787628174
1750386648.843059,28,2.9034934043884277
1750391063.2994308,29,2.896620035171509
