Wall time,Step,Value
1749863283.3324292,0,4.141076564788818
1749864592.20433,1,3.486952543258667
1749866617.404851,2,3.261892080307007
1749868684.412531,3,3.062371253967285
1749871473.75741,4,3.018030881881714
1749875060.477828,5,2.9788944721221924
1749878531.724277,6,2.972249746322632
1749881971.612274,7,2.918388843536377
1749886106.593578,8,3.02687931060791
1749890253.398643,9,2.9919655323028564
1749894408.7118459,10,2.9894230365753174
1749898526.6077719,11,2.964907169342041
1749902645.408054,12,2.952655792236328
1749906756.7643032,13,2.943563938140869
1749910871.86694,14,2.9363276958465576
1749915142.938997,15,2.9653398990631104
1749919236.457516,16,2.950559616088867
1749923334.0531998,17,2.9297029972076416
1749927446.811945,18,2.9225661754608154
1749931565.0115268,19,2.9181556701660156
1749935700.2720928,20,2.914483070373535
1749940017.87676,21,2.9113500118255615
1749944700.7074828,22,2.9086496829986572
1749949409.596221,23,2.907172203063965
1749953801.5466728,24,2.9044301509857178
1749958169.537259,25,2.9020256996154785
1749962421.037086,26,2.900437355041504
1749966597.282641,27,2.8991353511810303
1749970740.188172,28,2.8973348140716553
1749974864.4389849,29,2.8956847190856934
