Wall time,Step,Value
1750851784.794701,0,4.511007785797119
1750853835.8761,1,3.705850601196289
1750855908.694172,2,3.5212864875793457
1750857984.476949,3,3.338186264038086
1750860045.676554,4,3.3243212699890137
1750862121.035478,5,3.2101285457611084
1750864200.552823,6,3.256943941116333
1750866328.966167,7,3.169743299484253
1750868555.664671,8,3.2560107707977295
1750870840.9499478,9,3.179680109024048
1750876091.3780549,10,3.0882112979888916
1750880660.639144,11,3.0279011726379395
1750885227.6555479,12,2.9967029094696045
1750889799.821455,13,2.9763381481170654
1750894456.987148,14,2.9617059230804443
1750899082.675252,15,2.9503867626190186
1750903736.3783329,16,2.941533327102661
1750908342.7633312,17,2.9340784549713135
1750913044.888563,18,2.927919387817383
1750917542.481531,19,2.9227824211120605
1750922072.556569,20,2.918488025665283
1750926571.310741,21,2.9141738414764404
1750931079.8687649,22,2.911165237426758
1750935536.838163,23,2.9075887203216553
1750939971.365792,24,2.904879093170166
1750944482.602001,25,2.902339458465576
1750948934.391331,26,2.90018367767334
1750953472.56209,27,2.8982222080230713
1750958261.6061661,28,2.8960745334625244
1750962989.888033,29,2.8941383361816406
